name,category,rating,reviews,phone,address,maps_url
Cabinet vétérinaire Dr Meguenai El Mehdi,Veterinarian,5.0,2.0,0661 26 48 15,H8RH+M4M,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr+Meguenai+El+Mehdi/data=!4m7!3m6!1s0x12f0453524ac420b:0x7201a4ca80fca050!8m2!3d36.5917224!4d7.3278075!16s%2Fg%2F11kqh8705q!19sChIJC0KsJDVF8BIRUKD8gMqkAXI?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire Dr NASRI MED RAMI,Veterinarian,5.0,5.0,0699 02 23 11,·,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+Dr+NASRI+MED+RAMI/data=!4m7!3m6!1s0x12f05f3e06799983:0xe10c118d93df0485!8m2!3d36.4564893!4d7.4293441!16s%2Fg%2F11sgvhr_45!19sChIJg5l5Bj5f8BIRhQTfk40RDOE?authuser=0&hl=en&rclk=1
CABINET VETERINAIRE DAHMECHE'S,Veterinarian,3.6,5.0,,"42, Tahar",https://www.google.com/maps/place/CABINET+VETERINAIRE+DAHMECHE%27S/data=!4m7!3m6!1s0x12f05f8c617af543:0xf3194ab7138db85d!8m2!3d36.4511071!4d7.4292732!16s%2Fg%2F11gxn2qpk_!19sChIJQ_V6YYxf8BIRXbiNE7dKGfM?authuser=0&hl=en&rclk=1
Vétérinaire samir,Veterinarian,5.0,2.0,0771 47 22 63,"FC9H+VRF, Unnamed Road",https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire+samir/data=!4m7!3m6!1s0x12f05d6a5a518e5b:0xb9f2d95c22d7a884!8m2!3d36.4696986!4d7.429535!16s%2Fg%2F11qn932mg3!19sChIJW45RWmpd8BIRhKjXIlzZ8rk?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Hedibli Abdelmalek Cité benhergua n2 guelma,Animal hospital,,,0775 45 53 22,Cité benhergua n 2,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Hedibli+Abdelmalek+Cit%C3%A9+benhergua+n2+guelma/data=!4m7!3m6!1s0x12f05fd366b0f96b:0xa27561423ec9ebfa!8m2!3d36.4627444!4d7.4330833!16s%2Fg%2F11tt8kzg7s!19sChIJa_mwZtNf8BIR-uvJPkJhdaI?authuser=0&hl=en&rclk=1
Dr vétérinaire hediblimalek,Veterinarian,,,0672 45 75 88,,https://www.google.com/maps/place/Dr+v%C3%A9t%C3%A9rinaire+hediblimalek/data=!4m7!3m6!1s0x12f05f0039725633:0x978102c19ca8103e!8m2!3d36.4556974!4d7.4052071!16s%2Fg%2F11wjdnt78x!19sChIJM1ZyOQBf8BIRPhConMECgZc?authuser=0&hl=en&rclk=1
"Cabinet vétérinaire Yanisvet "" Dr Ghouila B""",Veterinarian,,,0655 27 81 01,9GCJ+FV6,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Yanisvet+%22+Dr+Ghouila+B%22/data=!4m7!3m6!1s0x12f08900735b8ea9:0x673c8ee99673e6b2!8m2!3d36.3711625!4d7.5321406!16s%2Fg%2F11yknvt024!19sChIJqY5bcwCJ8BIRsuZzlumOPGc?authuser=0&hl=en&rclk=1
Vente en gros des produits vétérinaires,Pharmacy,5.0,4.0,,FCF8+HHH,https://www.google.com/maps/place/Vente+en+gros+des+produits+v%C3%A9t%C3%A9rinaires/data=!4m7!3m6!1s0x12f05d6c4a71230d:0x14f201220fde9f93!8m2!3d36.4739487!4d7.4164735!16s%2Fg%2F11fvsqdgd0!19sChIJDSNxSmxd8BIRk5_eDyIB8hQ?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire A.B,Veterinarian,5.0,5.0,0793 91 80 94,Cité des martyrs n°25,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+A.B/data=!4m7!3m6!1s0x12f0791ac13fe593:0x99aa431f4f6e1d03!8m2!3d36.4758679!4d7.7265369!16s%2Fg%2F11j8hxwn9d!19sChIJk-U_wRp58BIRAx1uTx9Dqpk?authuser=0&hl=en&rclk=1
Dr vétérinaire Makhlouf amin,Veterinarian,,,0655 75 18 06,·,https://www.google.com/maps/place/Dr+v%C3%A9t%C3%A9rinaire+Makhlouf+amin/data=!4m7!3m6!1s0x12f045c166b8d357:0xe895b56fa0d87840!8m2!3d36.5995165!4d7.3298069!16s%2Fg%2F11t9pxlk_k!19sChIJV9O4ZsFF8BIRQHjYoG-1leg?authuser=0&hl=en&rclk=1
عيادة بيطرية بوخديمcabinet vétérinaire boukhdim mourad,Veterinarian,5.0,3.0,0671 40 98 89,CCVP+48J، Unnamed Road,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D8%A8%D9%88%D8%AE%D8%AF%D9%8A%D9%85cabinet+v%C3%A9t%C3%A9rinaire+boukhdim+mourad%E2%80%AD/data=!4m7!3m6!1s0x12f05fb3b4bc2a17:0xf3e76e9aa854cffc!8m2!3d36.4428492!4d7.4357543!16s%2Fg%2F11rb4st_c6!19sChIJFyq8tLNf8BIR_M9UqJpu5_M?authuser=0&hl=en&rclk=1
عيادة فرداس البيطرية,Veterinarian,,,0668 12 97 73,· Opens 9 AM,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D9%81%D8%B1%D8%AF%D8%A7%D8%B3+%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f05d0043045423:0x844de2683a88225!8m2!3d36.5027435!4d7.4021208!16s%2Fg%2F11whzk7hwg!19sChIJI1QEQwBd8BIRJYKogybeRAg?authuser=0&hl=en&rclk=1
T-VET,Animal hospital,,,0675 09 30 09,Cité abd el hamid ben badis,https://www.google.com/maps/place/T-VET/data=!4m7!3m6!1s0x12f0450057f2d175:0x720375da5d48672b!8m2!3d36.5899433!4d7.3288274!16s%2Fg%2F11y2yyp__5!19sChIJddHyVwBF8BIRK2dIXdp1A3I?authuser=0&hl=en&rclk=1
Cabinet vétérinaire oxygen,Veterinarian,3.7,3.0,0659 21 78 48,"RP48+XVC, tours",https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+oxygen/data=!4m7!3m6!1s0x12f0096464f3191d:0x17978fe4f6af2286!8m2!3d36.80744!4d7.7171351!16s%2Fg%2F11r2jf3_5x!19sChIJHRnzZGQJ8BIRhiKv9uSPlxc?authuser=0&hl=en&rclk=1
EURL Servi Pharm,Veterinary pharmacy,5.0,1.0,0661 54 29 57,Cité ain defla 2 n: 29,https://www.google.com/maps/place/EURL+Servi+Pharm/data=!4m7!3m6!1s0x12f05d6e88a5bd39:0x54d3493e70890021!8m2!3d36.4749372!4d7.4200008!16s%2Fg%2F11qmb8h_y0!19sChIJOb2liG5d8BIRIQCJcD5J01Q?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire Wassim,Veterinarian,5.0,2.0,0674 68 88 08,· Opens 9 AM,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+Wassim/data=!4m7!3m6!1s0x12f07914b44c6d1f:0xb8a7cfc3d5d4c991!8m2!3d36.4717313!4d7.7200424!16s%2Fg%2F11d_tz8hfv!19sChIJH21MtBR58BIRkcnU1cPPp7g?authuser=0&hl=en&rclk=1
Vétérinaire,Veterinarian,,,,JHQX+8GG,https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire/data=!4m7!3m6!1s0x12f06d004bf8fcd1:0xd4ec206df7e6f854!8m2!3d36.6383097!4d7.5988269!16s%2Fg%2F11ld9_w3dk!19sChIJ0fz4SwBt8BIRVPjm920g7NQ?authuser=0&hl=en&rclk=1
TAIBA PHARM,Veterinary pharmacy,,,0664 88 48 61,"FCF9+W8X, rue 2",https://www.google.com/maps/place/TAIBA+PHARM/data=!4m7!3m6!1s0x12f05df7628d3f69:0x3cc04e43626f58de!8m2!3d36.47485!4d7.4183458!16s%2Fg%2F11j99vf1xl!19sChIJaT-NYvdd8BIR3lhvYkNOwDw?authuser=0&hl=en&rclk=1
Cabinet vétérinaire SVET,Veterinarian,4.9,9.0,0658 25 51 16,23000,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+SVET/data=!4m7!3m6!1s0x12f009003ee20c67:0xb5a5aa4bfd639ebf!8m2!3d36.851407!4d7.7452051!16s%2Fg%2F11y3swyqj5!19sChIJZwziPgAJ8BIRv55j_UuqpbU?authuser=0&hl=en&rclk=1
Clinique vétérinaire chifaa,Animal hospital,,,0672 23 80 77,9G9G+PWQ,https://www.google.com/maps/place/Clinique+v%C3%A9t%C3%A9rinaire+chifaa/data=!4m7!3m6!1s0x12f0897fe60cacf3:0xf436a7599539361d!8m2!3d36.3692284!4d7.527325!16s%2Fg%2F11tnzvqzd5!19sChIJ86wM5n-J8BIRHTY5lVmnNvQ?authuser=0&hl=en&rclk=1
Cabinet veterinaire DR Bousnoubra oussama,Veterinarian,,,0665 36 04 47,8588+587,https://www.google.com/maps/place/Cabinet+veterinaire+DR+Bousnoubra+oussama/data=!4m7!3m6!1s0x12f0ff006f8db72d:0x7e13e174aa64f40b!8m2!3d36.3157992!4d7.1658255!16s%2Fg%2F11vqn9pjr4!19sChIJLbeNbwD_8BIRC_RkqnThE34?authuser=0&hl=en&rclk=1
Cabinet vétérinaire iman s.o.s,Animal hospital,5.0,5.0,0657 48 86 82,VP4W+88Q,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+iman+s.o.s/data=!4m7!3m6!1s0x12f0090051b01629:0x9d5009eaf70c402a!8m2!3d36.8555996!4d7.7453241!16s%2Fg%2F11xlrmjx8n!19sChIJKRawUQAJ8BIRKkAM9-oJUJ0?authuser=0&hl=en&rclk=1
CABINET VÉTÉRINAIRE BOUANK KHALIL,Animal hospital,5.0,1.0,0550 16 08 27,"Q4G6+6PX, Unnamed Road",https://www.google.com/maps/place/CABINET+V%C3%89T%C3%89RINAIRE+BOUANK+KHALIL/data=!4m7!3m6!1s0x12fab92267022ca9:0x69814e5c2bfbe43f!8m2!3d36.775623!4d8.1118627!16s%2Fg%2F11g0vmr3ld!19sChIJqSwCZyK5-hIRP-T7K1xOgWk?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire Ibn Sina,Veterinarian,5.0,7.0,0661 76 34 80,19 rue Chergui Meloude,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+Ibn+Sina/data=!4m7!3m6!1s0x12f059c65797e085:0x6b83b479faec8a79!8m2!3d36.4619283!4d7.2680802!16s%2Fg%2F11vyr2pvx1!19sChIJheCXV8ZZ8BIReYrs-nm0g2s?authuser=0&hl=en&rclk=1
