name,category,rating,reviews,phone,address,maps_url
العيادة البيطرية وسطاني مهدي,Animal hospital,,,,·,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D9%88%D8%B3%D8%B7%D8%A7%D9%86%D9%8A+%D9%85%D9%87%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f0e7bec1a62b23:0x428a3e89126f1e83!8m2!3d36.0829556!4d7.2590611!16s%2Fg%2F11mxq3z_3b!19sChIJIyumwb7n8BIRgx5vEok-ikI?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Dr Ferdes Amin,Veterinarian,,,,"n 01, Rue gargouri Abdallah",https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr+Ferdes+Amin/data=!4m7!3m6!1s0x12f0f300728515cf:0x476541caa7d18ed3!8m2!3d36.2648313!4d7.3950169!16s%2Fg%2F11wg4y8zhz!19sChIJzxWFcgDz8BIR047Rp8pBZUc?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Dr Oustani Mehdi,Veterinarian,5.0,1.0,0551 15 20 73,194 rue du 01 Novembre 1954,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr+Oustani+Mehdi/data=!4m7!3m6!1s0x12f0e760625d5e29:0x73881c1ed63015c4!8m2!3d36.0829414!4d7.2591107!16s%2Fg%2F11q3yh2nmh!19sChIJKV5dYmDn8BIRxBUw1h4ciHM?authuser=0&hl=en&rclk=1
Allô vet cabinet vétérinaire عيادة بيطرية,Animal hospital,4.0,2.0,0675 05 51 73,Macomades,https://www.google.com/maps/place/All%C3%B4+vet+cabinet+v%C3%A9t%C3%A9rinaire+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f0d70f730fe1f3:0xb3c8cd496ed42a60!8m2!3d35.8724291!4d7.096893!16s%2Fg%2F11tdj4zzkn!19sChIJ8-EPcw_X8BIRYCrUbknNyLM?authuser=0&hl=en&rclk=1
Cabinet vétérinaire el rahma,Animal hospital,5.0,1.0,0674 12 19 20,"3RG9+PH7, Unnamed Road",https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+el+rahma/data=!4m7!3m6!1s0x12fa756838f5995d:0xb6885992dbd35a13!8m2!3d36.0767878!4d7.818928!16s%2Fg%2F11fv4fh3w4!19sChIJXZn1OGh1-hIRE1rT25JZiLY?authuser=0&hl=en&rclk=1
عيادة بوعكاز البيطرية,Veterinarian,5.0,1.0,0663 70 61 99,·,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%88%D8%B9%D9%83%D8%A7%D8%B2+%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f0dbd689e78631:0xab2ced6e6ca1c328!8m2!3d35.9419277!4d7.1909823!16s%2Fg%2F11j1mj_1fx!19sChIJMYbnidbb8BIRKMOhbG7tLKs?authuser=0&hl=en&rclk=1
عيادة بيطرية هضام نوح,Animal hospital,4.3,4.0,,6WFW+V88,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D9%87%D8%B6%D8%A7%D9%85+%D9%86%D9%88%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x12f11ac89a59a1c5:0x772fe08600239042!8m2!3d36.2246664!4d6.94583!16s%2Fg%2F11g9d3mm0g!19sChIJxaFZmsga8RIRQpAjAIbgL3c?authuser=0&hl=en&rclk=1
Vétérinaires ' messaid,Animal hospital,4.7,3.0,0772 82 81 51,Q9WR+JV3,https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaires+%27+messaid/data=!4m7!3m6!1s0x12f0c912c3dc88b9:0x3bf5b7d0dfa990af!8m2!3d35.7965025!4d7.3921687!16s%2Fg%2F11qvgyysdt!19sChIJuYjcwxLJ8BIRr5Cp39C39Ts?authuser=0&hl=en&rclk=1
clinique veterinaire de BENSEBTI ISHAK,Animal hospital,5.0,12.0,0557 49 07 84,·,https://www.google.com/maps/place/clinique+veterinaire+de+BENSEBTI+ISHAK/data=!4m7!3m6!1s0x12f3da64456d1405:0xcf26b50e2e15f310!8m2!3d36.2570838!4d6.2872549!16s%2Fg%2F11fzx0vmzv!19sChIJBRRtRWTa8xIREPMVLg61Js8?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Dr. Ghafour,Veterinarian,5.0,4.0,0672 72 02 87,·,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr.+Ghafour/data=!4m7!3m6!1s0x12f3dbf557309fe3:0x3cdb6f7017d50d02!8m2!3d36.2487918!4d6.2826185!16s%2Fg%2F11t9y062f4!19sChIJ458wV_Xb8xIRAg3VF3Bv2zw?authuser=0&hl=en&rclk=1
Dr. vétérinaire CA,Veterinarian,5.0,1.0,0780 23 74 40,67XW+J7C,https://www.google.com/maps/place/Dr.+v%C3%A9t%C3%A9rinaire+CA/data=!4m7!3m6!1s0x12f3db226fe9f7b5:0x5a9baa62dc3c6b50!8m2!3d36.2490694!4d6.2956364!16s%2Fg%2F11vlt0zlxf!19sChIJtffpbyLb8xIRUGs83GKqm1o?authuser=0&hl=en&rclk=1
Cabinet vèterinaire. Dr siouane,Veterinarian,,,,"2JG2+GQ8, W2",https://www.google.com/maps/place/Cabinet+v%C3%A8terinaire.+Dr+siouane/data=!4m7!3m6!1s0x12f097002f5cc6c3:0xe932fbb0ac2c03c!8m2!3d36.0268294!4d7.6016811!16s%2Fg%2F11wj99s0n0!19sChIJw8ZcLwCX8BIRPMDCCrsvkw4?authuser=0&hl=en&rclk=1
Clinique veterinaire boumaraf,Veterinarian,5.0,2.0,0667 77 69 81,·,https://www.google.com/maps/place/Clinique+veterinaire+boumaraf/data=!4m7!3m6!1s0x12f147256a2e1bc3:0xde40cd77eb32a9bb!8m2!3d35.9364362!4d6.7415935!16s%2Fg%2F11s8fc0ggm!19sChIJwxsuaiVH8RIRu6ky63fNQN4?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Oussama,Veterinarian,,,,8R9H+GVV,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Oussama/data=!4m7!3m6!1s0x12f10d00268f9d93:0xdb5548ebb1d9da45!8m2!3d36.3188575!4d6.8296709!16s%2Fg%2F11lnm6dy3p!19sChIJk52PJgAN8RIRRdrZsetIVds?authuser=0&hl=en&rclk=1
طبيب بيطري د. برحال عبد القادر طب و جراحة الحيوانات,Animal hospital,5.0,2.0,0662 00 57 73,"3RF9+HGG, N81A",https://www.google.com/maps/place/%D8%B7%D8%A8%D9%8A%D8%A8+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A+%D8%AF.+%D8%A8%D8%B1%D8%AD%D8%A7%D9%84+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1+%D8%B7%D8%A8+%D9%88+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x12fa7500287a8d89:0x906564b6ffa33962!8m2!3d36.0739645!4d7.8186813!16s%2Fg%2F11y16s3c28!19sChIJiY16KAB1-hIRYjmj_7ZkZZA?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire l'Espoir II (Dr. CHEKATI),Veterinarian,,,0666 94 19 53,"En face lycée Souaihia, El Barnous El Barnous",https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+l%27Espoir+II+%28Dr.+CHEKATI%29/data=!4m7!3m6!1s0x12f08743fd76a533:0x4a8efb5c3eb1eed5!8m2!3d36.3422601!4d7.6402144!16s%2Fg%2F11r_mhjcvd!19sChIJM6V2_UOH8BIR1e6xPlz7jko?authuser=0&hl=en&rclk=1
Cabinet Vétérinaire DIB ALA,Veterinarian,,,0696 00 07 45,·,https://www.google.com/maps/place/Cabinet+V%C3%A9t%C3%A9rinaire+DIB+ALA/data=!4m7!3m6!1s0x12f085005db73de3:0xa581d3a160f3d910!8m2!3d36.1944039!4d7.6540465!16s%2Fg%2F11wwvthqkw!19sChIJ4z23XQCF8BIRENnzYKHTgaU?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Dr Souaki Mohammed Atif عيادة بيطرية دكتور سواقي محمد عاطف,Animal hospital,,,0697 41 00 08,G6WH+JV5,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Dr+Souaki+Mohammed+Atif+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B3%D9%88%D8%A7%D9%82%D9%8A+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A7%D8%B7%D9%81%E2%80%AD/data=!4m7!3m6!1s0x12f051003423f7a9:0x74cfe35b29f6ed8a!8m2!3d36.5465211!4d7.2297415!16s%2Fg%2F11vxx09mb7!19sChIJqfcjNABR8BIRiu32KVvjz3Q?authuser=0&hl=en&rclk=1
